,N.America,Europe,Asia,S.America,Oceania,Africa
1971,370.6,130.9,68.346875,25.4,78.9,9.6
1972,391.7,134.4827586,72.396875,26.48,82.3,10.20384615
1973,407.8,141.9137931,78.50625,28.79,87.8,11.06923077
1974,398,138.9275862,80.09375,30.43,95.7,11.56923077
1975,383.6,135.4482759,85.340625,30.79,98.55,12.52307692
1976,406.5,143.9068966,89.525,33.09,100.6,13.59615385
1977,423.3,143.7275862,97.3,34.36,108.05,14.08461538
1978,426.7,148.4172414,103.634375,36.27,105.25,13.75769231
1979,432.3,154.3448276,108.234375,38.35,107.3,14.52307692
1980,419,149.9448276,108.484375,38.12,112.2,15.6
1981,413.9,143.6724138,109.828125,36.84,112.3,16.02222222
1982,395.7,139.8586207,113.471875,36.67,116.25,16.38518519
1983,392.5,138.7310345,119.10625,35.89,110.35,16.72962963
1984,409,139.5034483,127.309375,36.12,114.05,17.37777778
1985,411.4,141.5137931,126.8636364,36.27,120.3,17.8
1986,408.9,138.7433333,132.6575758,39.25,120.35,17.9962963
1987,422.2,140.0133333,140.6121212,40.71,125.95,19.1
1988,441,139.1966667,150.5545455,42.54,131.65,19.53333333
1989,448.4,138.9133333,157.5727273,43.18,138.3,20.14074074
1990,441,170.2534884,152.4769231,42.47,141.7,20.4037037
1991,439.3,167.9186047,158.525641,44.02,142.65,20.025
1992,444.7,157.3976744,164.8358974,45.15,145.4,19.62758621
1993,453.8,149.2046512,172.2461538,46.98,147.2,19.8862069
1994,463.3,141.0627907,179.8692308,49.34,150.35,19.8862069
1995,467.8,140.6651163,185.6575,52.15,155.85,20.88965517
1996,483.4,141.7372093,193.8425,56.59,161.7,21.59655172
1997,499.9,136.9534884,195.68,59.87,166.4,22.82413793
1998,502.2,136.5255814,195.765,61.55,175.65,23.3
1999,503.6,135.2883721,198.4575,62.4,181.15,23.41034483
2000,522,133.4840909,202.8125,63.52,184.85,23.86551724
2001,520.5,135.4340909,205.87,62.84,192.05,24.37931034
2002,515.8,134.6045455,215.8375,62.49,195.8,25.43103448
2003,523.4,139.0863636,233.3075,63.22,197.4,26.6862069
2004,530.5,138.8659091,257.5325,67.75,202.4,28.02758621
2005,534.6,134.8977778,274.92,69.44,201.55,29.13448276
2006,529.4,136.9822222,294.14,71.78,203.8,29.70344828
2007,537.7,135.8333333,312.9275,75.18,208.2,31.44482759
2008,523,134.4511111,328.7475,78.63,209.9,33.16551724
2009,490,124.6866667,339.2875,76.28,207.55,32.83793103
2010,507.4,128.5,358.6,82.8,207.2,32.8
